Product A,Product B,Times Bought Together,Product A Id,Product A Variation Id,Product B Id,Product B Variation Id
Merry Goat Round,Mountain Top,60,943,0,950,0
Bloomy Breeze,Merry Goat Round,57,940,0,943,0
Bloomy Breeze,Mountain Top,39,940,0,950,0
Fresh Goat Cheese,Merry Goat Round,39,953,0,943,0
Merry Goat Round,Merry Goat Round Spruce Reserve,38,943,0,1903,0
Cabra LaMancha,Merry Goat Round,35,930,0,943,0
Cabra LaMancha,Merry Goat Round,35,930,3937,943,0
Merry Goat Round Spruce Reserve,Mountain Top,33,1903,0,950,0
Black & Blue,Cabra LaMancha,32,937,0,930,0
Black & Blue,Merry Goat Round,28,937,0,943,0
Black & Blue,Mountain Top,28,937,0,950,0
Bloomy Breeze,Fresh Goat Cheese,27,940,0,953,0
Fresh Goat Cheese,Mountain Top,25,953,0,950,0
Cave Dweller,Merry Goat Round,23,947,0,943,0
Merry Goat Round,White Rock,23,943,0,4602,0
Black & Blue,Merry Goat Round,22,937,3934,943,0
Bloomy Breeze,Cabra LaMancha,21,940,0,930,0
Bloomy Breeze,Cave Dweller,21,940,0,947,0
Bloomy Breeze,White Rock,21,940,0,4602,0
Cabra LaMancha,Merry Goat Round Spruce Reserve,21,930,3937,1903,0
Black & Blue,Bloomy Breeze,20,937,0,940,0
Black & Blue,Cave Dweller,20,937,0,947,0
Cabra LaMancha,Cave Dweller,20,930,0,947,0
Black & Blue,Cabra LaMancha,19,937,3934,930,3937
Cabra LaMancha,Mountain Top,19,930,0,950,0
Cabra LaMancha,Mountain Top,19,930,3937,950,0
Cave Dweller,Merry Goat Round,19,947,3927,943,0
Black & Blue,Cave Dweller,18,937,3934,947,3927
Black & Blue,Mountain Top,18,937,3934,950,0
Cabra LaMancha,Carpenter's Wheel,18,930,3937,2078,3933
Carpenter's Wheel,Merry Goat Round,18,2078,3933,943,0
Cave Dweller,Mountain Top,18,947,0,950,0
Mountain Top,White Rock,18,950,0,4602,0
Cabra LaMancha,White Rock,17,930,0,4602,0
Cabra LaMancha,Moo & Blue,16,930,0,934,0
Cabra LaMancha,Cave Dweller,16,930,3937,947,3927
Black & Blue,White Rock,15,937,0,4602,0
Cabra LaMancha,Fresh Goat Cheese,15,930,0,953,0
Fresh Goat Cheese,Merry Goat Round Spruce Reserve,15,953,0,1903,0
Black & Blue,Fresh Goat Cheese,14,937,0,953,0
Black & Blue,Moo & Blue,14,937,0,934,0
Carpenter's Wheel,Mountain Top,14,2078,3933,950,0
Cave Dweller,White Rock,14,947,0,4602,0
Black & Blue,Carpenter's Wheel,13,937,3934,2078,3933
Black & Blue,Fresh Goat Cheese,13,937,3934,953,0
Bloomy Breeze,Carpenter's Wheel,13,940,0,2078,0
Bloomy Breeze,Merry Goat Round Spruce Reserve,13,940,0,1903,0
Cave Dweller,Mountain Top,13,947,3927,950,0
Fresh Goat Cheese,White Rock,13,953,0,4602,0
Black & Blue,Merry Goat Round Spruce Reserve,12,937,0,1903,0
Black & Blue,Merry Goat Round Spruce Reserve,12,937,3934,1903,0
Carpenter's Wheel,Cave Dweller,12,2078,3933,947,3927
Merry Goat Round,Moo & Blue,12,943,0,934,0
Black & Blue,Carpenter's Wheel,11,937,0,2078,0
Black & Blue,Moo & Blue,11,937,3934,934,3935
Cabra LaMancha,Moo & Blue,11,930,3937,934,3935
Carpenter's Wheel,Merry Goat Round Spruce Reserve,11,2078,3933,1903,0
Cave Dweller,Fresh Goat Cheese,11,947,0,953,0
Moo & Blue,Mountain Top,11,934,0,950,0
Bloomy Breeze,Carpenter's Wheel,10,940,0,2078,3933
Bloomy Breeze,Moo & Blue,10,940,0,934,0
Cabra LaMancha,Fresh Goat Cheese,10,930,3937,953,0
Carpenter's Wheel,Merry Goat Round,10,2078,0,943,0
Carpenter's Wheel,Mountain Top,10,2078,0,950,0
Cave Dweller,Merry Goat Round Spruce Reserve,10,947,3927,1903,0
Merry Goat Round,Moo & Blue,10,943,0,934,3935
Cabra LaMancha,Carpenter's Wheel,9,930,0,2078,0
Carpenter's Wheel,Cave Dweller,9,2078,0,947,0
Carpenter's Wheel,White Rock,9,2078,0,4602,0
Carpenter's Wheel,Moo & Blue,9,2078,3933,934,3935
Moo & Blue,Mountain Top,9,934,3935,950,0
All Spruced Up — sampler box,Barely Blue — sampler box,8,2772,0,2800,0
Bloomy Breeze,Cave Dweller,8,940,0,947,3927
Bloomy Breeze,Flouwer Co. Artisanal Crackers,8,940,0,5343,0
Cave Dweller,Fresh Goat Cheese,8,947,3927,953,0
Black & Blue,Bloomy Breeze,7,937,3934,940,0
Bloomy Breeze,Cabra LaMancha,7,940,0,930,3937
Cabra LaMancha,Wensleydale with Cranberry,7,930,0,4677,0
Cabra LaMancha,White Rock,7,930,3937,4602,0
Carpenter's Wheel,Fresh Goat Cheese,7,2078,3933,953,0
Cave Dweller,Moo & Blue,7,947,3927,934,3935
Black & Blue,Cabrita,6,937,0,8862,0
Bloomy Breeze,Cabrita,6,940,0,8862,0
Bloomy Breeze,Moo & Blue,6,940,0,934,3935
Bloomy Breeze,Nat's Nuts Cinnamon Whiskey Pecans,6,940,0,5350,0
Bloomy Breeze,Wensleydale with Cranberry,6,940,0,4677,0
Cabrita,Mountain Top,6,8862,0,950,0
Carpenter's Wheel,Fresh Goat Cheese,6,2078,0,953,0
Cave Dweller,Merry Goat Round Spruce Reserve,6,947,0,1903,0
Cradoc's Sea Salted Crackers,Merry Goat Round,6,4475,0,943,0
Flouwer Co. Artisanal Crackers,Nat's Nuts Cinnamon Whiskey Pecans,6,5343,0,5350,0
Merry Goat Round,Organic Sourdough Sea Salt Crackers,6,943,0,5347,0
Merry Goat Round Spruce Reserve,White Rock,6,1903,0,4602,0
Barely Blue — sampler box,FireFly Farms Christmas Sampler,5,2800,0,2983,0
Bloomy Breeze,Organic Sourdough Sea Salt Crackers,5,940,0,5347,0
Cabra LaMancha,Merry Goat Round Spruce Reserve,5,930,0,1903,0
Cabra LaMancha,Organic Sourdough Sea Salt Crackers,5,930,0,5347,0
Cabrita,Carpenter's Wheel,5,8862,0,2078,0
Cabrita,Merry Goat Round,5,8862,0,943,0
Cave Dweller,Moo & Blue,5,947,0,934,0
Cave Dweller,Organic Sourdough Sea Salt Crackers,5,947,0,5347,0
Cave Dweller,White Rock,5,947,3927,4602,0
Flouwer Co. Artisanal Crackers,Merry Goat Round,5,5343,0,943,0
Flouwer Co. Artisanal Crackers,Organic Sourdough Sea Salt Crackers,5,5343,0,5347,0
Fresh Goat Cheese,Moo & Blue,5,953,0,934,3935
Merry Goat Round,Nat's Nuts Cinnamon Whiskey Pecans,5,943,0,5350,0
Nat's Nuts Cinnamon Whiskey Pecans,White Rock,5,5350,0,4602,0
All Goat,Cow's Milk Sampler,4,3990,0,3992,0
Barely Blue — sampler box,Honey honey — sampler box,4,2800,0,2802,0
Black & Blue,Nat's Nuts Cinnamon Whiskey Pecans,4,937,0,5350,0
Black & Blue,Red Leicester,4,937,0,11909,0
Cabra LaMancha,Wensleydale with Cranberry,4,930,3937,4677,4678
Cabrita,Flouwer Co. Artisanal Crackers,4,8862,0,5343,0
Cabrita,White Rock,4,8862,0,4602,0
Carpenter's Wheel,White Rock,4,2078,3933,4602,0
FireFly Farms Christmas Sampler,Wensleydale with Cranberry,4,2983,0,4677,0
Flouwer Co. Artisanal Crackers,Merry Goat Round Spruce Reserve,4,5343,0,1903,0
Fresh Goat Cheese,Moo & Blue,4,953,0,934,0
Fresh Goat Cheese,Red Leicester,4,953,0,11909,0
Merry Goat Round,Wensleydale with Cranberry,4,943,0,4677,4678
Merry Goat Round Spruce Reserve,Moo & Blue,4,1903,0,934,3935
Mountain Top,Potter's Organic Winter Wheat Crackers,4,950,0,12554,0
Mountain Top,Red Leicester,4,950,0,11909,0
Mountain Top,Wensleydale with Cranberry,4,950,0,4677,4678
All Spruced Up — sampler box,Big Picture Farm Chocolate Covered Goat Milk Caramels,3,2772,0,4634,0
All Spruced Up — sampler box,Taste of Fall,3,2772,0,2884,0
Barely Blue — sampler box,Fresh Goat Cheese,3,2800,0,953,0
Barely Blue — sampler box,Taste of Fall,3,2800,0,2884,0
Black & Blue,Flouwer Co. Artisanal Crackers,3,937,0,5343,0
Black & Blue,Jumping Jack,3,937,0,7272,0
Black & Blue,Legendary Blue,3,937,0,9201,0
Black & Blue,Potter's Organic Winter Wheat Crackers,3,937,0,12554,0
Bloomy Breeze,Potter's Organic Winter Wheat Crackers,3,940,0,12554,0
Bloomy Breeze,Red Leicester,3,940,0,11909,0
Cabra LaMancha,Cow's Milk Sampler,3,930,0,3992,0
Cabra LaMancha,Red Leicester,3,930,0,11909,0
Cabra LaMancha,Cradoc's Sea Salted Crackers,3,930,3937,4475,0
Cabrita,Cave Dweller,3,8862,0,947,0
Cabrita,Fresh Goat Cheese,3,8862,0,953,0
Cabrita,Jumping Jack,3,8862,0,7272,0
Cabrita,Legendary Blue,3,8862,0,9201,0
Cabrita,Nat's Nuts Cinnamon Whiskey Pecans,3,8862,0,5350,0
Carpenter's Wheel,Merry Goat Round Spruce Reserve,3,2078,0,1903,0
Carpenter's Wheel,Wensleydale with Cranberry,3,2078,3933,4677,4678
Cave Dweller,Jumping Jack,3,947,0,7272,0
Cave Dweller,Nat's Nuts Cinnamon Whiskey Pecans,3,947,0,5350,0
Flouwer Co. Artisanal Crackers,White Rock,3,5343,0,4602,0
Fresh Goat Cheese,Taste of Fall,3,953,0,2884,0
Jumping Jack,White Rock,3,7272,0,4602,0
Jumping Jack,The Heritage Sampler,3,7272,0,3985,0
Legendary Blue,Mountain Top,3,9201,0,950,0
Merry Goat Round,Parra Jimenez Organic Manchego,3,943,0,12544,0
Merry Goat Round,Wensleydale with Cranberry,3,943,0,4677,0
Merry Goat Round Spruce Reserve,Moo & Blue,3,1903,0,934,0
Moo & Blue,White Rock,3,934,0,4602,0
Moo & Blue,Potter's Organic Winter Wheat Crackers,3,934,0,12554,0
All Goat,Cabra LaMancha,2,3990,0,930,3937
All Goat,Merry Goat Round,2,3990,0,943,0
All Goat,Moo & Blue,2,3990,0,934,0
All Goat,Winter Blues,2,3990,0,3979,0
All Spruced Up — sampler box,Cow's Milk Sampler,2,2772,0,3992,0
All Spruced Up — sampler box,Honey honey — sampler box,2,2772,0,2802,0
Barely Blue — sampler box,Big Picture Farm Chocolate Covered Goat Milk Caramels,2,2800,0,4634,0
Barely Blue — sampler box,Merry Goat Round,2,2800,0,943,0
Barely Blue — sampler box,Mountain Top,2,2800,0,950,0
Barely Blue — sampler box,The Heritage Sampler,2,2800,0,3985,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,Merry Goat Round,2,4634,0,943,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,Wensleydale with Cranberry,2,4634,0,4677,4678
Black & Blue,Cow's Milk Sampler,2,937,0,3992,0
Black & Blue,Taste of Fall,2,937,0,2884,0
Black & Blue,The Heritage Sampler,2,937,0,3985,0
Black & Blue,Wensleydale with Cranberry,2,937,0,4677,0
Black & Blue,Wensleydale with Cranberry,2,937,3934,4677,4678
Black & Blue,FireFly Farms Christmas Sampler,2,937,0,2983,0
Black & Blue,Organic Sourdough Sea Salt Crackers,2,937,0,5347,0
Bloomy Breeze,Cradoc's Sea Salted Crackers,2,940,0,4475,0
Bloomy Breeze,Jumping Jack,2,940,0,7272,0
Bloomy Breeze,Legendary Blue,2,940,0,9201,0
Bloomy Breeze,The Heritage Sampler,2,940,0,3985,0
Bloomy Breeze,Wensleydale with Cranberry,2,940,0,4677,4678
Cabra LaMancha,FireFly Farms Christmas Sampler,2,930,0,2983,0
Cabra LaMancha,Flouwer Co. Artisanal Crackers,2,930,0,5343,0
Cabra LaMancha,Green Dirt Prairie Tomme,2,930,0,12550,0
Cabra LaMancha,The Heritage Sampler,2,930,0,3985,0
Cabrita,Merry Goat Round Spruce Reserve,2,8862,0,1903,0
Cabrita,Organic Sourdough Sea Salt Crackers,2,8862,0,5347,0
Carpenter's Wheel,Jumping Jack,2,2078,0,7272,0
Carpenter's Wheel,Legendary Blue,2,2078,0,9201,0
Carpenter's Wheel,Legendary Moo,2,2078,0,13261,0
Carpenter's Wheel,Moo & Blue,2,2078,0,934,0
Carpenter's Wheel,Shakerag Blue,2,2078,0,8383,0
Carpenter's Wheel,Cradoc's Sea Salted Crackers,2,2078,3933,4475,0
Carpenter's Wheel,FireFly Farms Christmas Sampler,2,2078,3933,2983,0
Carpenter's Wheel,Wensleydale with Cranberry,2,2078,0,4677,0
Cave Dweller,Flouwer Co. Artisanal Crackers,2,947,0,5343,0
Cave Dweller,Red Leicester,2,947,0,11909,0
Cave Dweller,FireFly Farms Christmas Sampler,2,947,3927,2983,0
Coffee Blossom Honey,Nat's Nuts Cinnamon Whiskey Pecans,2,5388,0,5350,0
Cow's Milk Sampler,Merry Goat Round,2,3992,0,943,0
Cow's Milk Sampler,Wensleydale with Cranberry,2,3992,0,4677,0
Cradoc's Sea Salted Crackers,Fresh Goat Cheese,2,4475,0,953,0
FireFly Farms Christmas Sampler,Fresh Goat Cheese,2,2983,0,953,0
FireFly Farms Christmas Sampler,Parra Jimenez Organic Manchego,2,2983,0,12544,0
FireFly Farms Christmas Sampler,Red Leicester,2,2983,0,11909,0
Flouwer Co. Artisanal Crackers,Jumping Jack,2,5343,0,7272,0
Flouwer Co. Artisanal Crackers,Legendary Blue,2,5343,0,9201,0
Flouwer Co. Artisanal Crackers,Mountain Top,2,5343,0,950,0
Flouwer Co. Artisanal Crackers,The Heritage Sampler,2,5343,0,3985,0
Fresh Goat Cheese,Parra Jimenez Organic Manchego,2,953,0,12544,0
Fresh Goat Cheese,Potter's Organic Winter Wheat Crackers,2,953,0,12554,0
Green Dirt Prairie Tomme,Wensleydale with Cranberry,2,12550,0,4677,0
Honey honey — sampler box,The Heritage Sampler,2,2802,0,3985,0
Jumping Jack,Legendary Blue,2,7272,0,9201,0
Jumping Jack,Merry Goat Round Spruce Reserve,2,7272,0,1903,0
Jumping Jack,Merry Goat Round,2,7272,0,943,0
Legendary Blue,White Rock,2,9201,0,4602,0
Merry Goat Round,Mother's Day Gift Box,2,943,0,3351,0
Merry Goat Round,Potter's Organic Winter Wheat Crackers,2,943,0,12554,0
Merry Goat Round,Red Leicester,2,943,0,11909,0
Merry Goat Round Spruce Reserve,Organic Sourdough Sea Salt Crackers,2,1903,0,5347,0
Moo & Blue,Taste of Fall,2,934,0,2884,0
Moo & Blue,Wensleydale with Cranberry,2,934,3935,4677,4678
