postcode,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
21502,9,1921.74,213.53,32,3.56,45,5.0,3,33.3
21550,9,1424.54,158.28,21,2.33,32,3.56,5,55.6
21541,6,813.11,135.52,8,1.33,13,2.17,1,16.7
21210,6,1009.92,168.32,14,2.33,17,2.83,3,50.0
21042,6,574.88,95.81,7,1.17,13,2.17,1,16.7
20832,5,1735.15,347.03,21,4.2,57,11.4,2,40.0
21532,5,635.34,127.07,6,1.2,7,1.4,1,20.0
20910,4,1093.36,273.34,15,3.75,33,8.25,2,50.0
20854,4,554.61,138.65,9,2.25,14,3.5,2,50.0
20814,4,366.24,91.56,5,1.25,13,3.25,1,25.0
21601,4,3151.23,787.81,19,4.75,177,44.25,1,25.0
20853,4,595.32,148.83,8,2.0,10,2.5,2,50.0
21401,4,1706.45,426.61,19,4.75,32,8.0,2,50.0
20882,4,316.1,79.03,4,1.0,9,2.25,0,0.0
21157,4,751.42,187.86,10,2.5,18,4.5,1,25.0
21146,4,380.18,95.05,4,1.0,16,4.0,0,0.0
20817,4,668.02,167.01,11,2.75,11,2.75,2,50.0
20009,4,477.68,119.42,5,1.25,13,3.25,1,25.0
21212,3,387.14,129.05,3,1.0,3,1.0,0,0.0
20018,3,3312.7,1104.23,37,12.33,40,13.33,1,33.3
15228,3,351.39,117.13,4,1.33,4,1.33,1,33.3
21536,3,1795.95,598.65,21,7.0,26,8.67,1,33.3
21208,3,329.35,109.78,5,1.67,11,3.67,2,66.7
20906,3,276.81,92.27,3,1.0,9,3.0,0,0.0
21811,3,202.05,67.35,3,1.0,9,3.0,0,0.0
20194,3,2779.22,926.41,29,9.67,147,49.0,2,66.7
21030,3,287.9,95.97,3,1.0,3,1.0,0,0.0
19004,3,681.99,227.33,4,1.33,11,3.67,1,33.3
17050,3,939.72,313.24,12,4.0,16,5.33,2,66.7
21043,3,418.09,139.36,7,2.33,11,3.67,1,33.3
21701,3,864.51,288.17,9,3.0,11,3.67,2,66.7
20895,3,828.66,276.22,7,2.33,31,10.33,1,33.3
15012,2,525.54,262.77,7,3.5,7,3.5,2,100.0
21704,2,322.81,161.41,5,2.5,6,3.0,1,50.0
21217,2,482.64,241.32,4,2.0,5,2.5,1,50.0
20007,2,243.14,121.57,2,1.0,3,1.5,0,0.0
15241,2,141.85,70.93,2,1.0,2,1.0,0,0.0
21117,2,169.16,84.58,2,1.0,5,2.5,0,0.0
91423,2,233.2,116.6,2,1.0,2,1.0,0,0.0
20850,2,944.98,472.49,13,6.5,15,7.5,1,50.0
21211,2,160.5,80.25,2,1.0,2,1.0,0,0.0
21234,2,320.94,160.47,5,2.5,9,4.5,2,100.0
21218,2,333.62,166.81,4,2.0,10,5.0,1,50.0
21131,2,238.94,119.47,2,1.0,3,1.5,0,0.0
26501,2,183.51,91.76,2,1.0,2,1.0,0,0.0
19966,2,296.76,148.38,6,3.0,8,4.0,1,50.0
08033,2,1003.0,501.5,17,8.5,17,8.5,2,100.0
15370,2,161.83,80.92,2,1.0,3,1.5,0,0.0
27613,2,228.18,114.09,3,1.5,12,6.0,1,50.0
32578,2,2499.72,1249.86,29,14.5,29,14.5,2,100.0
21409,2,295.98,147.99,2,1.0,2,1.0,0,0.0
22205,2,663.67,331.84,8,4.0,13,6.5,1,50.0
21530,2,313.72,156.86,4,2.0,5,2.5,1,50.0
20723,2,1503.47,751.74,12,6.0,17,8.5,2,100.0
20851,2,305.62,152.81,3,1.5,29,14.5,1,50.0
21001,2,371.59,185.8,5,2.5,8,4.0,1,50.0
20015,2,152.0,76.0,2,1.0,6,3.0,0,0.0
15215,2,301.57,150.79,2,1.0,3,1.5,0,0.0
21719,2,373.19,186.6,4,2.0,5,2.5,1,50.0
21771,2,133.63,66.82,3,1.5,3,1.5,1,50.0
15237,2,1919.45,959.73,25,12.5,49,24.5,2,100.0
21520,2,302.42,151.21,3,1.5,11,5.5,1,50.0
22042,2,215.25,107.63,2,1.0,4,2.0,0,0.0
21074,2,236.94,118.47,2,1.0,5,2.5,0,0.0
21104,2,390.47,195.24,5,2.5,8,4.0,1,50.0
21075,2,309.62,154.81,4,2.0,6,3.0,2,100.0
20874,2,158.67,79.34,2,1.0,6,3.0,0,0.0
20171,2,477.76,238.88,5,2.5,18,9.0,1,50.0
20855,2,367.46,183.73,3,1.5,3,1.5,1,50.0
20902,2,246.42,123.21,2,1.0,8,4.0,0,0.0
33432,2,472.86,236.43,4,2.0,18,9.0,1,50.0
21784,2,410.57,205.29,6,3.0,12,6.0,1,50.0
29485,2,182.63,91.32,2,1.0,12,6.0,0,0.0
76102,2,266.17,133.09,5,2.5,13,6.5,1,50.0
32176,2,241.9,120.95,4,2.0,4,2.0,1,50.0
26505,2,237.59,118.8,2,1.0,4,2.0,0,0.0
20707,2,145.82,72.91,2,1.0,3,1.5,0,0.0
20740,2,275.01,137.51,2,1.0,6,3.0,0,0.0
22304,2,323.93,161.97,6,3.0,12,6.0,1,50.0
20180,2,143.34,71.67,2,1.0,5,2.5,0,0.0
19958,1,93.63,93.63,1,1.0,1,1.0,0,0.0
17078,1,76.8,76.8,1,1.0,4,4.0,0,0.0
17801,1,146.96,146.96,1,1.0,7,7.0,0,0.0
19425-3697,1,59.1,59.1,1,1.0,1,1.0,0,0.0
30152,1,103.07,103.07,1,1.0,4,4.0,0,0.0
21013-9768,1,415.96,415.96,2,2.0,19,19.0,1,100.0
22602,1,84.99,84.99,1,1.0,1,1.0,0,0.0
15552,1,182.53,182.53,1,1.0,10,10.0,0,0.0
19975,1,67.83,67.83,1,1.0,3,3.0,0,0.0
22401-4461,1,216.38,216.38,2,2.0,8,8.0,1,100.0
22182,1,75.0,75.0,1,1.0,1,1.0,0,0.0
24141,1,142.82,142.82,1,1.0,2,2.0,0,0.0
91205,1,56.73,56.73,1,1.0,1,1.0,0,0.0
33950,1,100.0,100.0,1,1.0,1,1.0,0,0.0
98282-8575,1,346.0,346.0,3,3.0,3,3.0,1,100.0
11375,1,82.02,82.02,1,1.0,4,4.0,0,0.0
07901,1,173.78,173.78,2,2.0,10,10.0,1,100.0
64145-1167,1,65.97,65.97,1,1.0,3,3.0,0,0.0
33558,1,884.01,884.01,6,6.0,36,36.0,1,100.0
21904,1,136.76,136.76,1,1.0,6,6.0,0,0.0
34292,1,97.84,97.84,1,1.0,4,4.0,0,0.0
20187,1,308.49,308.49,2,2.0,17,17.0,1,100.0
07311,1,167.58,167.58,2,2.0,8,8.0,1,100.0
30084,1,63.16,63.16,1,1.0,3,3.0,0,0.0
60612,1,115.0,115.0,1,1.0,1,1.0,0,0.0
15102,1,788.0,788.0,13,13.0,13,13.0,1,100.0
78218,1,210.02,210.02,3,3.0,7,7.0,1,100.0
54235,1,131.18,131.18,1,1.0,6,6.0,0,0.0
27051,1,50.0,50.0,1,1.0,1,1.0,0,0.0
80439,1,96.45,96.45,1,1.0,5,5.0,0,0.0
32812,1,284.35,284.35,3,3.0,8,8.0,1,100.0
21550-6420,1,78.62,78.62,1,1.0,1,1.0,0,0.0
32132,1,61.41,61.41,1,1.0,1,1.0,0,0.0
87506,1,107.39,107.39,1,1.0,1,1.0,0,0.0
17349,1,642.4,642.4,6,6.0,18,18.0,1,100.0
08757,1,88.05,88.05,1,1.0,3,3.0,0,0.0
21774,1,202.13,202.13,1,1.0,2,2.0,0,0.0
20147,1,45.33,45.33,1,1.0,1,1.0,0,0.0
32779,1,248.93,248.93,2,2.0,7,7.0,1,100.0
25832,1,76.96,76.96,1,1.0,4,4.0,0,0.0
11777,1,151.43,151.43,1,1.0,1,1.0,0,0.0
33647-2287,1,105.0,105.0,3,3.0,3,3.0,1,100.0
32034,1,491.15,491.15,7,7.0,26,26.0,1,100.0
21093,1,86.15,86.15,1,1.0,4,4.0,0,0.0
20712,1,187.16,187.16,2,2.0,23,23.0,1,100.0
19348,1,68.46,68.46,1,1.0,3,3.0,0,0.0
15551,1,127.91,127.91,1,1.0,1,1.0,0,0.0
22124,1,223.72,223.72,2,2.0,4,4.0,1,100.0
04057,1,76.16,76.16,1,1.0,3,3.0,0,0.0
21797,1,145.37,145.37,1,1.0,2,2.0,0,0.0
21223,1,100.99,100.99,1,1.0,3,3.0,0,0.0
10924-1823,1,385.37,385.37,4,4.0,19,19.0,1,100.0
21102,1,84.33,84.33,1,1.0,1,1.0,0,0.0
18458,1,179.03,179.03,2,2.0,10,10.0,1,100.0
33134,1,67.04,67.04,1,1.0,1,1.0,0,0.0
45238-4517,1,123.17,123.17,1,1.0,6,6.0,0,0.0
20733,1,1055.3,1055.3,17,17.0,17,17.0,1,100.0
09648,1,29.97,29.97,1,1.0,3,3.0,0,0.0
21230,1,215.15,215.15,1,1.0,8,8.0,0,0.0
15221,1,139.49,139.49,2,2.0,6,6.0,1,100.0
94609,1,56.32,56.32,1,1.0,1,1.0,0,0.0
20886,1,98.8,98.8,1,1.0,4,4.0,0,0.0
20650,1,313.96,313.96,2,2.0,8,8.0,1,100.0
21678,1,81.5,81.5,1,1.0,2,2.0,0,0.0
27609,1,171.71,171.71,2,2.0,17,17.0,1,100.0
16002,1,64.85,64.85,1,1.0,2,2.0,0,0.0
20896,1,117.49,117.49,1,1.0,1,1.0,0,0.0
21782,1,847.0,847.0,14,14.0,14,14.0,1,100.0
22405,1,72.05,72.05,1,1.0,1,1.0,0,0.0
21286,1,133.19,133.19,1,1.0,1,1.0,0,0.0
11946,1,52.99,52.99,1,1.0,1,1.0,0,0.0
22181-2945,1,97.34,97.34,1,1.0,1,1.0,0,0.0
20151,1,297.0,297.0,4,4.0,4,4.0,1,100.0
20912,1,79.99,79.99,1,1.0,1,1.0,0,0.0
60467,1,163.19,163.19,2,2.0,2,2.0,1,100.0
33625-1975,1,109.26,109.26,1,1.0,8,8.0,0,0.0
15139,1,706.45,706.45,6,6.0,17,17.0,1,100.0
21054,1,205.14,205.14,2,2.0,8,8.0,1,100.0
85637,1,129.34,129.34,1,1.0,1,1.0,0,0.0
76273,1,49.71,49.71,1,1.0,4,4.0,0,0.0
21403-4222,1,96.16,96.16,1,1.0,1,1.0,0,0.0
26833,1,269.43,269.43,3,3.0,14,14.0,1,100.0
15037-9512,1,78.18,78.18,1,1.0,1,1.0,0,0.0
21536-3163,1,155.96,155.96,1,1.0,4,4.0,0,0.0
21202-2664,1,106.59,106.59,1,1.0,1,1.0,0,0.0
21202,1,594.0,594.0,7,7.0,7,7.0,1,100.0
21015,1,87.94,87.94,1,1.0,6,6.0,0,0.0
32931,1,196.95,196.95,1,1.0,3,3.0,0,0.0
47401,1,71.15,71.15,1,1.0,2,2.0,0,0.0
20833,1,42.49,42.49,1,1.0,1,1.0,0,0.0
21550-1212,1,93.75,93.75,1,1.0,4,4.0,0,0.0
17222,1,76.86,76.86,1,1.0,1,1.0,0,0.0
83422,1,148.84,148.84,1,1.0,4,4.0,0,0.0
10065,1,59.15,59.15,1,1.0,2,2.0,0,0.0
20871,1,103.18,103.18,1,1.0,1,1.0,0,0.0
20879,1,462.0,462.0,11,11.0,11,11.0,1,100.0
06405,1,85.11,85.11,1,1.0,2,2.0,0,0.0
71201,1,183.0,183.0,1,1.0,1,1.0,0,0.0
34997,1,124.89,124.89,1,1.0,1,1.0,0,0.0
60605,1,90.76,90.76,1,1.0,3,3.0,0,0.0
30318,1,218.34,218.34,1,1.0,9,9.0,0,0.0
22646,1,143.19,143.19,2,2.0,2,2.0,1,100.0
19805,1,57.83,57.83,1,1.0,3,3.0,0,0.0
76109,1,100.0,100.0,1,1.0,1,1.0,0,0.0
15217,1,358.41,358.41,3,3.0,3,3.0,1,100.0
22207,1,82.49,82.49,1,1.0,3,3.0,0,0.0
21114,1,174.59,174.59,1,1.0,2,2.0,0,0.0
21224,1,66.72,66.72,1,1.0,3,3.0,0,0.0
53715,1,119.0,119.0,4,4.0,4,4.0,1,100.0
23103,1,74.01,74.01,1,1.0,2,2.0,0,0.0
17202,1,52.99,52.99,1,1.0,1,1.0,0,0.0
44333,1,98.45,98.45,1,1.0,3,3.0,0,0.0
21012,1,309.54,309.54,3,3.0,3,3.0,1,100.0
55066,1,80.46,80.46,1,1.0,6,6.0,0,0.0
22202,1,168.63,168.63,1,1.0,1,1.0,0,0.0
95110,1,116.81,116.81,1,1.0,6,6.0,0,0.0
06513,1,799.56,799.56,14,14.0,26,26.0,1,100.0
95032,1,88.86,88.86,1,1.0,1,1.0,0,0.0
92024-2624,1,210.63,210.63,2,2.0,14,14.0,1,100.0
21639,1,131.85,131.85,2,2.0,2,2.0,1,100.0
90018,1,96.67,96.67,1,1.0,5,5.0,0,0.0
20816,1,290.56,290.56,2,2.0,10,10.0,1,100.0
15116,1,157.49,157.49,1,1.0,5,5.0,0,0.0
90201,1,61.73,61.73,1,1.0,2,2.0,0,0.0
20009-1411,1,107.44,107.44,1,1.0,7,7.0,0,0.0
97219,1,662.81,662.81,8,8.0,12,12.0,1,100.0
33901,1,88.58,88.58,1,1.0,5,5.0,0,0.0
31406,1,204.12,204.12,1,1.0,2,2.0,0,0.0
20901,1,95.98,95.98,1,1.0,2,2.0,0,0.0
98110,1,250.31,250.31,4,4.0,6,6.0,1,100.0
85286,1,77.16,77.16,1,1.0,3,3.0,0,0.0
20785,1,151.47,151.47,1,1.0,4,4.0,0,0.0
20016,1,59.99,59.99,1,1.0,1,1.0,0,0.0
95618-7659,1,105.43,105.43,1,1.0,8,8.0,0,0.0
15687,1,492.02,492.02,4,4.0,19,19.0,1,100.0
24401,1,86.56,86.56,1,1.0,3,3.0,0,0.0
20872,1,68.8,68.8,1,1.0,6,6.0,0,0.0
21029,1,128.62,128.62,1,1.0,1,1.0,0,0.0
21754-8641,1,92.45,92.45,1,1.0,2,2.0,0,0.0
30342,1,224.57,224.57,2,2.0,4,4.0,1,100.0
21401-3212,1,76.18,76.18,1,1.0,1,1.0,0,0.0
33957,1,146.78,146.78,1,1.0,1,1.0,0,0.0
20880,1,59.0,59.0,1,1.0,1,1.0,0,0.0
10580,1,391.41,391.41,3,3.0,25,25.0,1,100.0
15541,1,84.34,84.34,1,1.0,1,1.0,0,0.0
44224,1,179.73,179.73,1,1.0,3,3.0,0,0.0
20015-1352,1,67.17,67.17,1,1.0,3,3.0,0,0.0
95818-3123,1,124.54,124.54,1,1.0,1,1.0,0,0.0
20008,1,1418.65,1418.65,15,15.0,30,30.0,1,100.0
49723,1,215.19,215.19,3,3.0,5,5.0,1,100.0
21742,1,140.0,140.0,5,5.0,5,5.0,1,100.0
20003,1,56.32,56.32,1,1.0,1,1.0,0,0.0
11249,1,99.09,99.09,1,1.0,1,1.0,0,0.0
19446,1,319.15,319.15,3,3.0,12,12.0,1,100.0
13142,1,81.58,81.58,1,1.0,4,4.0,0,0.0
06089,1,172.47,172.47,2,2.0,4,4.0,1,100.0
22812,1,118.0,118.0,2,2.0,2,2.0,1,100.0
53217,1,850.2,850.2,15,15.0,15,15.0,1,100.0
21201,1,88.86,88.86,1,1.0,1,1.0,0,0.0
53132-8146,1,72.44,72.44,1,1.0,3,3.0,0,0.0
85750,1,133.19,133.19,1,1.0,1,1.0,0,0.0
15143,1,97.49,97.49,1,1.0,1,1.0,0,0.0
98108,1,300.42,300.42,1,1.0,4,4.0,0,0.0
21044,1,163.45,163.45,1,1.0,4,4.0,0,0.0
68521,1,62.05,62.05,1,1.0,1,1.0,0,0.0
21013,1,110.03,110.03,2,2.0,5,5.0,1,100.0
20132,1,772.64,772.64,13,13.0,16,16.0,1,100.0
21209,1,207.0,207.0,4,4.0,4,4.0,1,100.0
21144,1,50.0,50.0,2,2.0,2,2.0,1,100.0
12754,1,96.31,96.31,1,1.0,1,1.0,0,0.0
44141,1,273.81,273.81,3,3.0,12,12.0,1,100.0
18901,1,78.18,78.18,1,1.0,1,1.0,0,0.0
20010,1,155.99,155.99,2,2.0,9,9.0,1,100.0
77840,1,106.59,106.59,1,1.0,1,1.0,0,0.0
22310,1,594.0,594.0,8,8.0,8,8.0,1,100.0
95472,1,87.95,87.95,1,1.0,4,4.0,0,0.0
20685,1,71.32,71.32,1,1.0,1,1.0,0,0.0
87031,1,42.86,42.86,1,1.0,1,1.0,0,0.0
21561,1,94.43,94.43,1,1.0,2,2.0,0,0.0
08055,1,229.21,229.21,3,3.0,7,7.0,1,100.0
30064,1,76.91,76.91,1,1.0,4,4.0,0,0.0
12477,1,150.0,150.0,2,2.0,2,2.0,1,100.0
15748,1,103.18,103.18,1,1.0,1,1.0,0,0.0
48069,1,462.24,462.24,4,4.0,9,9.0,1,100.0
01451,1,85.8,85.8,1,1.0,6,6.0,0,0.0
02467,1,183.32,183.32,1,1.0,1,1.0,0,0.0
77533-0099,1,126.79,126.79,1,1.0,6,6.0,0,0.0
20723-5737,1,90.8,90.8,1,1.0,3,3.0,0,0.0
21557,1,219.26,219.26,2,2.0,10,10.0,1,100.0
22480,1,75.93,75.93,2,2.0,9,9.0,1,100.0
15301,1,144.75,144.75,1,1.0,1,1.0,0,0.0
78732,1,100.06,100.06,1,1.0,6,6.0,0,0.0
18018,1,362.44,362.44,2,2.0,6,6.0,1,100.0
85340,1,174.89,174.89,1,1.0,1,1.0,0,0.0
15022,1,66.72,66.72,1,1.0,1,1.0,0,0.0
94110,1,119.0,119.0,1,1.0,5,5.0,0,0.0
21228,1,942.15,942.15,14,14.0,17,17.0,1,100.0
01833,1,74.15,74.15,1,1.0,2,2.0,0,0.0
17050-9203,1,138.48,138.48,1,1.0,1,1.0,0,0.0
20136,1,53.96,53.96,1,1.0,3,3.0,0,0.0
20007-1017,1,98.62,98.62,1,1.0,6,6.0,0,0.0
26726,1,312.44,312.44,4,4.0,12,12.0,1,100.0
85013,1,80.95,80.95,1,1.0,5,5.0,0,0.0
97230,1,168.9,168.9,2,2.0,11,11.0,1,100.0
12919,1,64.31,64.31,2,2.0,6,6.0,1,100.0
26508,1,117.38,117.38,1,1.0,1,1.0,0,0.0
22308,1,211.08,211.08,1,1.0,2,2.0,0,0.0
21740,1,71.64,71.64,1,1.0,1,1.0,0,0.0
21286-1502,1,132.13,132.13,2,2.0,2,2.0,1,100.0
78063,1,51.18,51.18,1,1.0,1,1.0,0,0.0
15401,1,297.0,297.0,4,4.0,4,4.0,1,100.0
31404,1,79.94,79.94,1,1.0,6,6.0,0,0.0
21403,1,158.48,158.48,1,1.0,1,1.0,0,0.0
21617,1,108.14,108.14,1,1.0,5,5.0,0,0.0
19454,1,693.0,693.0,8,8.0,8,8.0,1,100.0
63146,1,88.7,88.7,1,1.0,1,1.0,0,0.0
25427,1,204.87,204.87,2,2.0,16,16.0,1,100.0
22620,1,47.86,47.86,1,1.0,1,1.0,0,0.0
23176,1,251.05,251.05,2,2.0,17,17.0,1,100.0
99603,1,77.74,77.74,1,1.0,1,1.0,0,0.0
21217-4104,1,152.63,152.63,1,1.0,2,2.0,0,0.0
08080,1,105.98,105.98,2,2.0,2,2.0,1,100.0
17225,1,506.21,506.21,6,6.0,6,6.0,1,100.0
21531,1,190.0,190.0,6,6.0,6,6.0,1,100.0
04108,1,69.3,69.3,1,1.0,4,4.0,0,0.0
15437,1,129.0,129.0,1,1.0,1,1.0,0,0.0
35242,1,225.0,225.0,3,3.0,3,3.0,1,100.0
06851-6138,1,146.81,146.81,1,1.0,1,1.0,0,0.0
95864,1,59.0,59.0,1,1.0,1,1.0,0,0.0
08844,1,101.93,101.93,1,1.0,7,7.0,0,0.0
07934,1,391.9,391.9,4,4.0,6,6.0,1,100.0
21562-1706,1,84.86,84.86,1,1.0,3,3.0,0,0.0
07081,1,67.64,67.64,1,1.0,4,4.0,0,0.0
17331,1,124.7,124.7,2,2.0,3,3.0,1,100.0
33936,1,2631.94,2631.94,25,25.0,154,154.0,1,100.0
55110,1,215.63,215.63,1,1.0,4,4.0,0,0.0
26330,1,75.0,75.0,1,1.0,1,1.0,0,0.0
01864,1,100.0,100.0,1,1.0,1,1.0,0,0.0
12964,1,331.2,331.2,7,7.0,7,7.0,1,100.0
20148,1,172.64,172.64,1,1.0,10,10.0,0,0.0
12443,1,65.16,65.16,1,1.0,3,3.0,0,0.0
26104,1,118.0,118.0,3,3.0,3,3.0,1,100.0
22401,1,872.89,872.89,7,7.0,31,31.0,1,100.0
21777,1,133.19,133.19,1,1.0,1,1.0,0,0.0
19425,1,97.59,97.59,1,1.0,4,4.0,0,0.0
23238,1,304.82,304.82,3,3.0,14,14.0,1,100.0
55118,1,164.0,164.0,2,2.0,4,4.0,1,100.0
21045-1902,1,62.42,62.42,1,1.0,3,3.0,0,0.0
37804,1,778.0,778.0,12,12.0,12,12.0,1,100.0
22508,1,88.86,88.86,1,1.0,1,1.0,0,0.0
22180-4646,1,207.0,207.0,4,4.0,4,4.0,1,100.0
62521,1,130.0,130.0,1,1.0,1,1.0,0,0.0
60640,1,276.0,276.0,6,6.0,6,6.0,1,100.0
19711-3150,1,78.58,78.58,1,1.0,3,3.0,0,0.0
21545,1,156.91,156.91,1,1.0,9,9.0,0,0.0
04330,1,61.32,61.32,1,1.0,2,2.0,0,0.0
06117,1,107.04,107.04,1,1.0,6,6.0,0,0.0
08879,1,602.98,602.98,7,7.0,13,13.0,1,100.0
20001,1,199.9,199.9,1,1.0,10,10.0,0,0.0
01867,1,71.32,71.32,1,1.0,1,1.0,0,0.0
21601-7486,1,42.99,42.99,1,1.0,1,1.0,0,0.0
21078,1,95.78,95.78,1,1.0,3,3.0,0,0.0
19087,1,234.54,234.54,3,3.0,3,3.0,1,100.0
18940,1,76.95,76.95,1,1.0,7,7.0,0,0.0
08514,1,150.19,150.19,1,1.0,1,1.0,0,0.0
14850,1,478.28,478.28,7,7.0,7,7.0,1,100.0
33572,1,86.03,86.03,1,1.0,4,4.0,0,0.0
26260,1,184.1,184.1,2,2.0,5,5.0,1,100.0
21830,1,68.43,68.43,1,1.0,1,1.0,0,0.0
89521,1,127.06,127.06,1,1.0,13,13.0,0,0.0
60451,1,91.3,91.3,1,1.0,4,4.0,0,0.0
20770,1,220.99,220.99,1,1.0,5,5.0,0,0.0
08525,1,145.17,145.17,1,1.0,7,7.0,0,0.0
20901-1519,1,58.5,58.5,1,1.0,1,1.0,0,0.0
20815,1,100.24,100.24,1,1.0,1,1.0,0,0.0
21122,1,370.45,370.45,3,3.0,3,3.0,1,100.0
23510,1,176.77,176.77,1,1.0,13,13.0,0,0.0
89118,1,120.98,120.98,1,1.0,7,7.0,0,0.0
06517,1,951.75,951.75,6,6.0,34,34.0,1,100.0
28460,1,15.99,15.99,1,1.0,1,1.0,0,0.0
15235,1,74.18,74.18,1,1.0,1,1.0,0,0.0
21214,1,139.32,139.32,1,1.0,2,2.0,0,0.0
19010,1,55.1,55.1,1,1.0,1,1.0,0,0.0
53158,1,98.62,98.62,1,1.0,4,4.0,0,0.0
62220,1,313.27,313.27,3,3.0,9,9.0,1,100.0
20744,1,81.15,81.15,1,1.0,4,4.0,0,0.0
20678,1,171.45,171.45,1,1.0,2,2.0,0,0.0
36526,1,117.38,117.38,1,1.0,3,3.0,0,0.0
26501-6449,1,834.29,834.29,8,8.0,9,9.0,1,100.0
15217-1055,1,88.86,88.86,1,1.0,1,1.0,0,0.0
85251,1,212.86,212.86,2,2.0,9,9.0,1,100.0
21550-1517,1,71.64,71.64,1,1.0,1,1.0,0,0.0
11101,1,132.64,132.64,1,1.0,2,2.0,0,0.0
06032,1,52.99,52.99,1,1.0,1,1.0,0,0.0
21076,1,97.13,97.13,1,1.0,1,1.0,0,0.0
21206,1,297.0,297.0,4,4.0,4,4.0,1,100.0
30736,1,79.99,79.99,1,1.0,1,1.0,0,0.0
44001,1,159.58,159.58,2,2.0,2,2.0,1,100.0
19709,1,695.0,695.0,10,10.0,10,10.0,1,100.0
15212,1,88.86,88.86,1,1.0,3,3.0,0,0.0
77586,1,205.05,205.05,2,2.0,17,17.0,1,100.0
21210-2304,1,96.08,96.08,1,1.0,1,1.0,0,0.0
55105-2650,1,262.34,262.34,2,2.0,3,3.0,1,100.0
26537,1,78.18,78.18,1,1.0,1,1.0,0,0.0
55330,1,154.99,154.99,1,1.0,11,11.0,0,0.0
97136,1,60.19,60.19,1,1.0,2,2.0,0,0.0
23518,1,594.0,594.0,7,7.0,7,7.0,1,100.0
77077,1,191.42,191.42,2,2.0,12,12.0,1,100.0
20017,1,129.14,129.14,1,1.0,5,5.0,0,0.0
